| Podkategoria                        | Usługi                                                                                                                                         |
| **Instalacja i osprzęt**    | Naprawa instalacji elektrycznej; Wymiana alternatora; Naprawa alternatora; Wymiana rozrusznika; Naprawa rozrusznika; Wymiana regulatora napięcia                                                                                                       |
| **Komfort i czujniki**      | Naprawa centralnego zamka; Naprawa elektrycznych szyb/luster; Naprawa czujników parkowania; Wymiana czujnika temperatury; Wymiana czujnika ABS; Wymiana czujnika poziomu paliwa; Wymiana czujnika położenia wału; Naprawa czujnika deszczu i zmierzchu |
| **Elektronika i kodowanie** | Kodowanie kluczy; Programowanie sterowników; Aktualizacja oprogramowania ECU; Adaptacja przepustnicy; Programowanie modułów komfortu; Kodowanie modułu start-stop; Kalibracja kamer i radarów; Naprawa immobilizera                                    |
| **Oświetlenie**             | Wymiana żarówki; Wymiana lampy; Naprawa lampy; Regulacja świateł; Wymiana świateł LED/ksenon; Montaż świateł do jazdy dziennej                                                                                                                         |
| Podkategoria              | Usługi                                                                                                                                                  |
| ------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Akumulator**            | Wymiana akumulatora; Sprawdzenie akumulatora; Ładowanie akumulatora; Test obciążeniowy akumulatora; Regeneracja akumulatora; Montaż akumulatora AGM/EFB |
| **Problemy z odpalaniem** | Diagnostyka problemów z odpalaniem; Awaryjne uruchomienie auta; Sprawdzenie świec żarowych; Sprawdzenie rozrusznika; Sprawdzenie układu start-stop      |
| Podkategoria                | Usługi                                                                                                                                                                                                                                              |
| --------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Serwis klimatyzacji**     | Nabijanie klimatyzacji; Odgrzybianie klimatyzacji; Ozonowanie klimatyzacji; Diagnostyka klimatyzacji; Sprawdzenie szczelności klimatyzacji; Naprawa klimatyzacji; Wymiana filtra kabinowego; Wymiana zaworu rozprężnego; Wymiana czujnika ciśnienia |
| **Naprawy układu A/C**      | Wymiana kompresora klimatyzacji; Wymiana skraplacza (chłodnica klimatyzacji); Wymiana parownika; Wymiana osuszacza; Wymiana przewodów klimatyzacji; Regeneracja kompresora                                                                          |
| **Ogrzewanie i wentylacja** | Naprawa nagrzewnicy; Wymiana rezystora dmuchawy; Naprawa dmuchawy; Czyszczenie kanałów wentylacyjnych                                                                                                                                               |
| Podkategoria             | Usługi                                                                                                                                                                                                                           |
| ------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Elementy zawieszenia** | Wymiana amortyzatorów; Wymiana sprężyn; Wymiana wahacza; Wymiana tulei wahacza; Wymiana łącznika stabilizatora; Wymiana sworznia wahacza; Wymiana poduszek amortyzatora; Wymiana łożysk amortyzatora; Wymiana drążka reakcyjnego |
| **Diagnostyka**          | Diagnostyka zawieszenia; Diagnostyka amortyzatorów; Diagnostyka zużycia tulei; Test siłowników zawieszenia (hydropneumatyka)                                                                                                     |
| Podkategoria             | Usługi                                                                                                                                                                                                                                                                      |
| ------------------------ | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Naprawy i ustawienia** | Wymiana drążka kierowniczego; Wymiana końcówki drążka; Wymiana przekładni kierowniczej (maglownicy); Regeneracja maglownicy; Naprawa wspomagania kierownicy; Naprawa pompy wspomagania; Ustawienie zbieżności; Regulacja luzów przekładni; Diagnostyka układu kierowniczego |
| Podkategoria          | Usługi                                                                                                                                                                                                                                                                      |
| --------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Obsługa i naprawy** | Wymiana oleju w skrzyni biegów (manual/automat); Diagnostyka skrzyni biegów; Naprawa skrzyni manualnej; Naprawa skrzyni automatycznej; Regeneracja konwertera; Wymiana sprzęgła hydrokinetycznego; Wymiana uszczelniacza półosi; Aktualizacja oprogramowania skrzyni biegów |
| **Napęd i sprzęgło**  | Wymiana sprzęgła; Wymiana dwumasowego koła zamachowego; Wymiana wysprzęglika; Naprawa sprzęgła; Naprawa mechanizmu różnicowego; Wymiana półosi; Wymiana przegubów; Wymiana podpory wału napędowego; Wymiana wału napędowego                                                 |
| Podkategoria                    | Usługi                                                                                                                                                                                                                        |
| ------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Naprawy wydechu**             | Naprawa układu wydechowego; Wymiana tłumika; Spawanie tłumika; Wymiana katalizatora; Regeneracja katalizatora; Wymiana sondy lambda; Regeneracja sondy lambda; Usuwanie nieszczelności wydechu; Wymiana elastycznego łącznika |
| **Systemy oczyszczania spalin** | Diagnostyka DPF/FAP; Czyszczenie DPF; Wymiana DPF; Regeneracja DPF; Diagnostyka EGR; Czyszczenie EGR; Wymiana EGR; Diagnostyka AdBlue; Wymiana pompy AdBlue; Wymiana zbiornika AdBlue; Programowanie AdBlue                   |
| Podkategoria               | Usługi                                                                                                                                                                                                                          |
| -------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Wymiany i uzupełnianie** | Wymiana płynu chłodniczego; Wymiana płynu hamulcowego; Wymiana płynu wspomagania; Wymiana płynu do spryskiwaczy; Wymiana oleju w przekładni kierowniczej; Uzupełnienie AdBlue; Sprawdzenie/uzupełnienie płynów eksploatacyjnych |
| Podkategoria             | Usługi                                                                                                                                                 |
| ------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **Przeglądy techniczne** | Przegląd okresowy; Przegląd przed dłuższą trasą; Przegląd auta przed wakacjami; Przegląd auta przed zimą; Kontrola stanu technicznego                  |
| **Przeglądy flotowe**    | Przegląd floty pojazdów; Przegląd ciężarówek; Przegląd busów; Kontrola urządzeń tachografu; Kontrola stanu opon całej floty                            |
| **Kontrole układów**     | Kontrola układu hamulcowego; Kontrola układu kierowniczego; Kontrola układu zawieszenia; Kontrola układu wydechowego; Kontrola systemów bezpieczeństwa |
| Podkategoria                  | Usługi                                                                                                                                                                                                                                                  |
| ----------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Weryfikacja przed zakupem** | Sprawdzenie auta przed zakupem; Diagnostyka komputerowa przed zakupem; Kontrola lakieru i nadwozia; Kontrola zawieszenia; Kontrola silnika i skrzyni biegów; Jazda próbna z mechanikiem; Sprawdzenie stanu akumulatora; Weryfikacja historii serwisowej |
| Podkategoria           | Usługi                                                                                                                                        |
| ---------------------- | --------------------------------------------------------------------------------------------------------------------------------------------- |
| **Naprawy karoserii**  | Naprawa blacharska; Naprawa zderzaka; Spawanie elementów karoserii; Wymiana progów; Wymiana błotnika; Naprawa skorodowanej karoserii          |
| **Lakierowanie**       | Lakierowanie elementu; Całkowite lakierowanie nadwozia; Lakierowanie plastików; Lakierowanie zderzaka; Lakierowanie felg; Lakierowanie klamek |
| **Usuwanie uszkodzeń** | Usuwanie wgniotek (PDR); Usuwanie rys i zadrapań; Polerowanie lakieru; Renowacja lakieru; Usuwanie odprysków                                  |
| **Detailing**          | Pełny detailing zewnętrzny; Detailing wnętrza; Ceramiczne zabezpieczenie lakieru; Powłoka kwarcowa; Pranie tapicerki; Impregnacja skóry       |
| Podkategoria           | Usługi                                                                                                                                                                                                                                                                                                    |
| ---------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Szyby i widoczność** | Wymiana przedniej szyby; Wymiana tylnej szyby; Wymiana szyb bocznych; Naprawa odprysku szyby; Regeneracja reflektorów; Przyciemnianie szyb; Montaż osłon przeciwsłonecznych; Naprawa mechanizmu szyb; Wymiana wycieraczek; Naprawa spryskiwaczy; Wymiana pompki spryskiwaczy; Demontaż i montaż uszczelek |
| Podkategoria    | Usługi                                                                                                                                                                                                                                                |
| --------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Oświetlenie** | Wymiana żarówki (halogen, LED, xenon); Wymiana lampy reflektora; Wymiana lampy tylnej; Naprawa lampy; Regeneracja odbłyśników; Regulacja świateł; Montaż lamp dodatkowych (światła do jazdy dziennej); Kodowanie świateł LED; Polerowanie kloszy lamp |
| Podkategoria      | Usługi                                                                                                                                                                                                                                |
| ----------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Objawy**        | Auto nie odpala; Auto gaśnie; Auto szarpie; Auto traci moc; Auto nierówno pracuje; Auto się przegrzewa; Coś stuka; Coś piszczy; Wycieka płyn; Pali się kontrolka; Auto dymi; Auto wydziela zapach spalenizny; Nie wiem, co się dzieje |
| **Pomoc drogowa** | Awaryjne uruchomienie pojazdu; Wymiana koła w trasie; Holowanie; Dowóz paliwa; Transport lawetą; Zabezpieczenie miejsca wypadku                                                                                                       |
| Podkategoria                                 | Usługi                                                                                                                                                                                                               |
| -------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **Turbo i doładowanie**                      | Diagnostyka turbo; Regeneracja turbosprężarki; Wymiana turbosprężarki; Czyszczenie turbiny; Wymiana zaworu upustowego (wastegate); Wymiana intercoolera; Diagnostyka i naprawa kompresora mechanicznego              |
| **Systemy oczyszczania spalin (AdBlue/DPF)** | Diagnostyka układu AdBlue; Wymiana pompy AdBlue; Wymiana wtryskiwacza AdBlue; Wymiana filtra AdBlue; Uzupełnienie AdBlue; Programowanie systemu AdBlue; Diagnostyka i regeneracja DPF/FAP; Czyszczenie i wymiana EGR |
| Podkategoria                      | Usługi                                                                                                                                                                                                                                                       |
| --------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| **Serwis pojazdów hybrydowych**   | Diagnostyka układu hybrydowego; Diagnostyka i naprawa inwertera; Wymiana pakietu akumulatorów wysokonapięciowych; Kalibracja układu hybrydowego; Regeneracja baterii hybrydowej; Wymiana wentylatora baterii; Bezpieczeństwo HV                              |
| **Serwis pojazdów elektrycznych** | Diagnostyka układu napędowego EV; Diagnostyka ładowarki pokładowej; Wymiana gniazda ładowania; Wymiana pakietu baterii; Diagnostyka systemu chłodzenia baterii; Kalibracja systemu odzyskiwania energii; Naprawa układu HV; Obsługa systemów rekuperacyjnych |
